policy,ci_weight,batch_size,job_count,arrival_rate,warmup_min,theta_e,theta_c,total_ci_cost_g,avg_ci_per_job_g,carbon_median_g,carbon_iqr_g,cfp_g_per_cpu_hour,avg_wait_s,wait_median_s,wait_iqr_s,makespan_s,elapsed_ms,num_jobs,alpha,beta,gamma,alpha_mass,lookahead_min,duration_scale,duration_overrides,rep
keids,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32121.913602,15.631273,15.631273,31.415745,13.533388,21733.563000,21733.563000,42510.675500,338329.000000,267.000,842,0.4500,0.3500,0.2000,1.0000,0,1.000,,13
topsis,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32120.233784,15.165031,15.165031,30.606802,13.541488,21246.523000,21246.523000,44098.702000,338259.000000,282.000,849,0.5800,0.2100,0.2100,1.0000,0,1.000,,13
ecokube,0.200000,260,900,1.4000,30.00,0.0000,0.0000,17630.265531,6.626689,6.626689,19.429936,7.429744,20715.063000,20715.063000,42636.925500,342600.000000,349.000,848,0.7300,0.1800,0.0800,1.0000,0,1.000,,13
k8s,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32140.942020,15.399887,15.399887,30.916055,13.533149,20774.974000,20774.974000,43903.936000,338017.000000,179.000,848,0.0000,0.0000,0.0000,1.0000,0,1.000,,14
keids,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32121.913602,15.631273,15.631273,31.415745,13.533388,21761.000000,21761.000000,42508.987250,338329.000000,270.000,842,0.4500,0.3500,0.2000,1.0000,0,1.000,,14
topsis,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32120.233784,15.165031,15.165031,30.606802,13.541488,21358.434000,21358.434000,44091.949000,338259.000000,291.000,849,0.5800,0.2100,0.2100,1.0000,0,1.000,,14
ecokube,0.200000,260,900,1.4000,30.00,0.0000,0.0000,17630.265531,6.626689,6.626689,19.429936,7.429744,20785.897000,20785.897000,42635.237250,342600.000000,352.000,848,0.7300,0.1800,0.0800,1.0000,0,1.000,,14
k8s,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32140.942020,15.399887,15.399887,30.916055,13.533149,20761.701000,20761.701000,43858.170000,338017.000000,186.000,848,0.0000,0.0000,0.0000,1.0000,0,1.000,,15
keids,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32121.913602,15.631273,15.631273,31.415745,13.533388,21740.280000,21740.280000,42494.429500,338329.000000,280.000,842,0.4500,0.3500,0.2000,1.0000,0,1.000,,15
topsis,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32120.233784,15.165031,15.165031,30.606802,13.541488,21297.845000,21297.845000,44033.718000,338259.000000,290.000,849,0.5800,0.2100,0.2100,1.0000,0,1.000,,15
ecokube,0.200000,260,900,1.4000,30.00,0.0000,0.0000,17630.265531,6.626689,6.626689,19.429936,7.429744,20722.560000,20722.560000,42620.679500,342600.000000,358.000,848,0.7300,0.1800,0.0800,1.0000,0,1.000,,15
k8s,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32140.942020,15.399887,15.399887,30.916055,13.533149,20769.078000,20769.078000,43906.183000,338017.000000,196.000,848,0.0000,0.0000,0.0000,1.0000,0,1.000,,16
keids,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32121.913602,15.631273,15.631273,31.415745,13.533388,21761.000000,21761.000000,42510.516500,338329.000000,275.000,842,0.4500,0.3500,0.2000,1.0000,0,1.000,,16
topsis,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32120.233784,15.165031,15.165031,30.606802,13.541488,21346.139000,21346.139000,44098.066000,338259.000000,289.000,849,0.5800,0.2100,0.2100,1.0000,0,1.000,,16
ecokube,0.200000,260,900,1.4000,30.00,0.0000,0.0000,17630.265531,6.626689,6.626689,19.429936,7.429744,20780.222000,20780.222000,42636.766500,342600.000000,344.000,848,0.7300,0.1800,0.0800,1.0000,0,1.000,,16
k8s,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32140.942020,15.399887,15.399887,30.916055,13.533149,20773.930500,20773.930500,43904.202250,338017.000000,190.000,848,0.0000,0.0000,0.0000,1.0000,0,1.000,,17
keids,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32121.913602,15.631273,15.631273,31.415745,13.533388,21761.000000,21761.000000,42509.184250,338329.000000,268.000,842,0.4500,0.3500,0.2000,1.0000,0,1.000,,17
topsis,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32120.233784,15.165031,15.165031,30.606802,13.541488,21322.854000,21322.854000,44092.737000,338259.000000,279.000,849,0.5800,0.2100,0.2100,1.0000,0,1.000,,17
ecokube,0.200000,260,900,1.4000,30.00,0.0000,0.0000,17630.265531,6.626689,6.626689,19.429936,7.429744,20784.598000,20784.598000,42635.434250,342600.000000,362.000,848,0.7300,0.1800,0.0800,1.0000,0,1.000,,17
k8s,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32140.942020,15.399887,15.399887,30.916055,13.533149,20773.161500,20773.161500,43892.715750,338017.000000,185.000,848,0.0000,0.0000,0.0000,1.0000,0,1.000,,18
keids,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32121.913602,15.631273,15.631273,31.415745,13.533388,21761.000000,21761.000000,42506.408750,338329.000000,274.000,842,0.4500,0.3500,0.2000,1.0000,0,1.000,,18
topsis,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32120.233784,15.165031,15.165031,30.606802,13.541488,21248.696000,21248.696000,44081.635000,338259.000000,281.000,849,0.5800,0.2100,0.2100,1.0000,0,1.000,,18
ecokube,0.200000,260,900,1.4000,30.00,0.0000,0.0000,17630.265531,6.626689,6.626689,19.429936,7.429744,20771.958000,20771.958000,42632.658750,342600.000000,350.000,848,0.7300,0.1800,0.0800,1.0000,0,1.000,,18
k8s,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32140.942020,15.399887,15.399887,30.916055,13.533149,20764.692500,20764.692500,43900.675750,338017.000000,205.000,848,0.0000,0.0000,0.0000,1.0000,0,1.000,,19
keids,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32121.913602,15.631273,15.631273,31.415745,13.533388,21761.000000,21761.000000,42510.784250,338329.000000,269.000,842,0.4500,0.3500,0.2000,1.0000,0,1.000,,19
topsis,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32120.233784,15.165031,15.165031,30.606802,13.541488,21348.607000,21348.607000,44099.137000,338259.000000,289.000,849,0.5800,0.2100,0.2100,1.0000,0,1.000,,19
ecokube,0.200000,260,900,1.4000,30.00,0.0000,0.0000,17630.265531,6.626689,6.626689,19.429936,7.429744,20772.522000,20772.522000,42637.034250,342600.000000,344.000,848,0.7300,0.1800,0.0800,1.0000,0,1.000,,19
k8s,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32140.942020,15.399887,15.399887,30.916055,13.533149,20716.998500,20716.998500,43885.382250,338017.000000,178.000,848,0.0000,0.0000,0.0000,1.0000,0,1.000,,20
keids,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32121.913602,15.631273,15.631273,31.415745,13.533388,21714.497000,21714.497000,42504.710750,338329.000000,255.000,842,0.4500,0.3500,0.2000,1.0000,0,1.000,,20
topsis,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32120.233784,15.165031,15.165031,30.606802,13.541488,21139.926000,21139.926000,44074.843000,338259.000000,281.000,849,0.5800,0.2100,0.2100,1.0000,0,1.000,,20
ecokube,0.200000,260,900,1.4000,30.00,0.0000,0.0000,17630.265531,6.626689,6.626689,19.429936,7.429744,20695.997000,20695.997000,42630.960750,342600.000000,333.000,848,0.7300,0.1800,0.0800,1.0000,0,1.000,,20
k8s,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32140.942020,15.399887,15.399887,30.916055,13.533149,20775.771500,20775.771500,43893.786750,338017.000000,184.000,848,0.0000,0.0000,0.0000,1.0000,0,1.000,,21
keids,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32121.913602,15.631273,15.631273,31.415745,13.533388,21761.000000,21761.000000,42506.350250,338329.000000,272.000,842,0.4500,0.3500,0.2000,1.0000,0,1.000,,21
topsis,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32120.233784,15.165031,15.165031,30.606802,13.541488,21201.404000,21201.404000,44081.401000,338259.000000,302.000,849,0.5800,0.2100,0.2100,1.0000,0,1.000,,21
ecokube,0.200000,260,900,1.4000,30.00,0.0000,0.0000,17630.265531,6.626689,6.626689,19.429936,7.429744,20776.944000,20776.944000,42632.600250,342600.000000,377.000,848,0.7300,0.1800,0.0800,1.0000,0,1.000,,21
k8s,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32140.942020,15.399887,15.399887,30.916055,13.533149,20759.314000,20759.314000,43890.992750,338017.000000,197.000,848,0.0000,0.0000,0.0000,1.0000,0,1.000,,22
keids,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32121.913602,15.631273,15.631273,31.415745,13.533388,21754.799500,21754.799500,42508.242750,338329.000000,276.000,842,0.4500,0.3500,0.2000,1.0000,0,1.000,,22
topsis,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32120.233784,15.165031,15.165031,30.606802,13.541488,21289.652000,21289.652000,44088.971000,338259.000000,303.000,849,0.5800,0.2100,0.2100,1.0000,0,1.000,,22
ecokube,0.200000,260,900,1.4000,30.00,0.0000,0.0000,17630.265531,6.626689,6.626689,19.429936,7.429744,20751.599000,20751.599000,42634.492750,342600.000000,350.000,848,0.7300,0.1800,0.0800,1.0000,0,1.000,,22
k8s,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32140.942020,15.399887,15.399887,30.916055,13.533149,20767.639500,20767.639500,43888.940250,338017.000000,182.000,848,0.0000,0.0000,0.0000,1.0000,0,1.000,,23
keids,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32121.913602,15.631273,15.631273,31.415745,13.533388,21759.020000,21759.020000,42506.190250,338329.000000,267.000,842,0.4500,0.3500,0.2000,1.0000,0,1.000,,23
topsis,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32120.233784,15.165031,15.165031,30.606802,13.541488,21339.175000,21339.175000,44080.761000,338259.000000,313.000,849,0.5800,0.2100,0.2100,1.0000,0,1.000,,23
ecokube,0.200000,260,900,1.4000,30.00,0.0000,0.0000,17630.265531,6.626689,6.626689,19.429936,7.429744,20760.040000,20760.040000,42632.440250,342600.000000,343.000,848,0.7300,0.1800,0.0800,1.0000,0,1.000,,23
k8s,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32140.942020,15.399887,15.399887,30.916055,13.533149,20775.167500,20775.167500,43897.359750,338017.000000,178.000,848,0.0000,0.0000,0.0000,1.0000,0,1.000,,24
keids,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32121.913602,15.631273,15.631273,31.415745,13.533388,21761.000000,21761.000000,42507.319000,338329.000000,262.000,842,0.4500,0.3500,0.2000,1.0000,0,1.000,,24
