policy,job_id,site,node,queued_at,started_at,ended_at,submit,start,end,wait_s,runtime_s,queue_seconds,energy_kwh,energy_wh,carbon_kg,carbon_g,ci_cost,ci_cost_g,source
carbonscaler,02c4e700-6ac4-456f-bc44-8e9cf8c2f46c,A,hetsched-worker,2025-11-18T12:34:33+00:00,2025-11-18T12:34:35+00:00,2025-11-18T12:35:35+00:00,2025-11-18T12:34:33+00:00,2025-11-18T12:34:35+00:00,2025-11-18T12:35:35+00:00,2.0,60.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,kubernetes
carbonscaler,030,A,hetsched-worker,2025-11-18T12:36:33+00:00,2025-11-18T12:36:49+00:00,2025-11-18T12:36:59+00:00,2025-11-18T12:36:33+00:00,2025-11-18T12:36:49+00:00,2025-11-18T12:36:59+00:00,16.0,10.0,16.0,0.00043946457081379985,0.43946457081379986,0.0002570867739260729,0.25708677392607293,0.25708677392607293,0.25708677392607293,kubernetes
carbonscaler,031,A,hetsched-worker,2025-11-18T12:36:34+00:00,2025-11-18T12:36:50+00:00,2025-11-18T12:37:00+00:00,2025-11-18T12:36:34+00:00,2025-11-18T12:36:50+00:00,2025-11-18T12:37:00+00:00,16.0,10.0,9.25109487,0.00043946457081379985,0.43946457081379986,0.0002570867739260729,0.25708677392607293,0.25708677392607293,0.25708677392607293,kubernetes
carbonscaler,032,A,hetsched-worker,2025-11-18T12:35:15+00:00,2025-11-18T12:35:42+00:00,2025-11-18T12:35:52+00:00,2025-11-18T12:35:15+00:00,2025-11-18T12:35:42+00:00,2025-11-18T12:35:52+00:00,27.0,10.0,27.0,0.00043946457081379985,0.43946457081379986,0.0002570867739260729,0.25708677392607293,0.25708677392607293,0.25708677392607293,kubernetes
carbonscaler,033,A,hetsched-worker,2025-11-18T12:35:10+00:00,2025-11-18T12:35:42+00:00,2025-11-18T12:35:52+00:00,2025-11-18T12:35:10+00:00,2025-11-18T12:35:42+00:00,2025-11-18T12:35:52+00:00,32.0,10.0,32.0,0.00043946457081379985,0.43946457081379986,0.0002570867739260729,0.25708677392607293,0.25708677392607293,0.25708677392607293,kubernetes
carbonscaler,034,A,hetsched-worker,2025-11-18T12:35:51+00:00,2025-11-18T12:35:58+00:00,2025-11-18T12:36:08+00:00,2025-11-18T12:35:51+00:00,2025-11-18T12:35:58+00:00,2025-11-18T12:36:08+00:00,7.0,10.0,7.0,0.00043946457081379985,0.43946457081379986,0.0002570867739260729,0.25708677392607293,0.25708677392607293,0.25708677392607293,kubernetes
carbonscaler,035,C,hetsched-worker2,2025-11-18T12:35:19+00:00,2025-11-18T12:35:45+00:00,2025-11-18T12:35:55+00:00,2025-11-18T12:35:19+00:00,2025-11-18T12:35:45+00:00,2025-11-18T12:35:55+00:00,26.0,10.0,26.0,0.00043946457081379985,0.43946457081379986,0.0002570867739260729,0.25708677392607293,0.25708677392607293,0.25708677392607293,kubernetes
carbonscaler,036,A,hetsched-worker,2025-11-18T12:35:20+00:00,2025-11-18T12:35:49+00:00,2025-11-18T12:35:59+00:00,2025-11-18T12:35:20+00:00,2025-11-18T12:35:49+00:00,2025-11-18T12:35:59+00:00,29.0,10.0,6.006151205,0.00043946457081379985,0.43946457081379986,0.0002570867739260729,0.25708677392607293,0.25708677392607293,0.25708677392607293,kubernetes
carbonscaler,037,A,hetsched-worker,2025-11-18T12:35:21+00:00,2025-11-18T12:35:49+00:00,2025-11-18T12:35:59+00:00,2025-11-18T12:35:21+00:00,2025-11-18T12:35:49+00:00,2025-11-18T12:35:59+00:00,28.0,10.0,5.175025861,0.00043946457081379985,0.43946457081379986,0.0002570867739260729,0.25708677392607293,0.25708677392607293,0.25708677392607293,kubernetes
carbonscaler,038,C,hetsched-worker2,2025-11-18T12:35:16+00:00,2025-11-18T12:35:52+00:00,2025-11-18T12:36:02+00:00,2025-11-18T12:35:16+00:00,2025-11-18T12:35:52+00:00,2025-11-18T12:36:02+00:00,36.0,10.0,36.0,0.00043946457081379985,0.43946457081379986,0.0002570867739260729,0.25708677392607293,0.25708677392607293,0.25708677392607293,kubernetes
