sched,job_id,node,submit,start,end,wait_ms,ci_cost,policy
carbonscaler,job-191,small-1,2025-10-19T17:03:13+02:00,2025-10-20T14:15:42.55527549+02:00,2025-10-20T14:16:39.55527549+02:00,76349555,0.00023,carbonscaler
carbonscaler,job-197,small-3,2025-10-19T17:03:27+02:00,2025-10-20T14:15:42.55527549+02:00,2025-10-20T14:16:33.55527549+02:00,76335555,0.000205,carbonscaler
carbonscaler,job-202,small-4,2025-10-19T17:03:36+02:00,2025-10-20T14:15:42.55527549+02:00,2025-10-20T14:16:30.55527549+02:00,76326555,0.000193,carbonscaler
carbonscaler,job-206,gpu-0,2025-10-19T17:03:44+02:00,2025-10-20T14:15:52.55527549+02:00,2025-10-20T14:16:36.55527549+02:00,76328555,0.000101,carbonscaler
carbonscaler,job-208,burst-0,2025-10-19T17:03:44+02:00,2025-10-20T14:15:54.55527549+02:00,2025-10-20T14:16:26.55527549+02:00,76330555,0.000144,carbonscaler
carbonscaler,job-211,gpu-0,2025-10-19T17:03:46+02:00,2025-10-20T14:15:57.55527549+02:00,2025-10-20T14:16:30.55527549+02:00,76331555,7.7e-05,carbonscaler
carbonscaler,job-214,small-4,2025-10-19T17:03:51+02:00,2025-10-20T14:15:59.55527549+02:00,2025-10-20T14:16:42.55527549+02:00,76328555,0.000173,carbonscaler
carbonscaler,job-215,small-4,2025-10-19T17:03:53+02:00,2025-10-20T14:16:00.55527549+02:00,2025-10-20T14:16:36.55527549+02:00,76327555,0.000145,carbonscaler
carbonscaler,job-216,small-3,2025-10-19T17:03:53+02:00,2025-10-20T14:16:02.55527549+02:00,2025-10-20T14:16:55.55527549+02:00,76329555,0.000213,carbonscaler
carbonscaler,job-218,gpu-0,2025-10-19T17:03:55+02:00,2025-10-20T14:16:05.55527549+02:00,2025-10-20T14:16:50.55527549+02:00,76330555,0.000107,carbonscaler
carbonscaler,job-220,med-1,2025-10-19T17:03:56+02:00,2025-10-20T14:16:05.55527549+02:00,2025-10-20T14:16:51.55527549+02:00,76329555,0.000196,carbonscaler
carbonscaler,job-229,small-0,2025-10-19T17:04:08+02:00,2025-10-20T14:16:06.55527549+02:00,2025-10-20T14:17:03.55527549+02:00,76318555,0.00023,carbonscaler
carbonscaler,job-230,small-0,2025-10-19T17:04:11+02:00,2025-10-20T14:16:06.55527549+02:00,2025-10-20T14:16:58.55527549+02:00,76315555,0.000209,carbonscaler
carbonscaler,job-237,small-4,2025-10-19T17:04:16+02:00,2025-10-20T14:16:07.55527549+02:00,2025-10-20T14:16:49.55527549+02:00,76311555,0.000169,carbonscaler
carbonscaler,job-238,med-0,2025-10-19T17:04:16+02:00,2025-10-20T14:16:07.55527549+02:00,2025-10-20T14:17:05.55527549+02:00,76311555,0.000248,carbonscaler
carbonscaler,job-243,med-0,2025-10-19T17:04:21+02:00,2025-10-20T14:16:10.55527549+02:00,2025-10-20T14:16:40.55527549+02:00,76309555,0.000128,carbonscaler
carbonscaler,job-248,small-0,2025-10-19T17:04:25+02:00,2025-10-20T14:16:11.55527549+02:00,2025-10-20T14:16:45.55527549+02:00,76306555,0.000137,carbonscaler
carbonscaler,job-250,small-1,2025-10-19T17:04:26+02:00,2025-10-20T14:16:12.55527549+02:00,2025-10-20T14:17:06.55527549+02:00,76306555,0.000218,carbonscaler
carbonscaler,job-255,small-1,2025-10-19T17:04:30+02:00,2025-10-20T14:16:12.55527549+02:00,2025-10-20T14:16:55.55527549+02:00,76302555,0.000173,carbonscaler
carbonscaler,job-259,small-2,2025-10-19T17:04:37+02:00,2025-10-20T14:16:12.55527549+02:00,2025-10-20T14:16:47.55527549+02:00,76295555,0.000141,carbonscaler
carbonscaler,job-271,small-1,2025-10-19T17:04:42+02:00,2025-10-20T14:16:13.55527549+02:00,2025-10-20T14:17:12.55527549+02:00,76291555,0.000238,carbonscaler
