sched,job_id,node,submit,start,end,wait_ms,ci_cost,policy
engine,job-211,small-2,2025-10-19T17:03:46+02:00,2025-10-20T14:15:51.598902495+02:00,2025-10-20T14:16:24.598902495+02:00,76325598,0.000133,engine
engine,job-214,small-0,2025-10-19T17:03:51+02:00,2025-10-20T14:15:52.598902495+02:00,2025-10-20T14:16:35.598902495+02:00,76321598,0.000173,engine
engine,job-215,small-1,2025-10-19T17:03:53+02:00,2025-10-20T14:15:52.598902495+02:00,2025-10-20T14:16:28.598902495+02:00,76319598,0.000145,engine
engine,job-216,small-2,2025-10-19T17:03:53+02:00,2025-10-20T14:15:52.598902495+02:00,2025-10-20T14:16:45.598902495+02:00,76319598,0.000213,engine
engine,job-218,med-0,2025-10-19T17:03:55+02:00,2025-10-20T14:16:04.598902495+02:00,2025-10-20T14:16:49.598902495+02:00,76329598,0.000192,engine
engine,job-220,small-0,2025-10-19T17:03:56+02:00,2025-10-20T14:16:06.598902495+02:00,2025-10-20T14:16:52.598902495+02:00,76330598,0.000185,engine
engine,job-229,small-0,2025-10-19T17:04:08+02:00,2025-10-20T14:16:10.598902495+02:00,2025-10-20T14:17:07.598902495+02:00,76322598,0.00023,engine
engine,job-230,gpu-0,2025-10-19T17:04:11+02:00,2025-10-20T14:16:12.598902495+02:00,2025-10-20T14:17:04.598902495+02:00,76321598,0.000126,engine
engine,job-237,small-4,2025-10-19T17:04:16+02:00,2025-10-20T14:16:14.598902495+02:00,2025-10-20T14:16:56.598902495+02:00,76318598,0.000169,engine
engine,job-238,small-3,2025-10-19T17:04:16+02:00,2025-10-20T14:16:15.598902495+02:00,2025-10-20T14:17:13.598902495+02:00,76319598,0.000234,engine
engine,job-243,small-0,2025-10-19T17:04:21+02:00,2025-10-20T14:16:16.598902495+02:00,2025-10-20T14:16:46.598902495+02:00,76315598,0.000121,engine
engine,job-248,gpu-0,2025-10-19T17:04:25+02:00,2025-10-20T14:16:18.598902495+02:00,2025-10-20T14:16:52.598902495+02:00,76313598,8.4e-05,engine
engine,job-250,small-1,2025-10-19T17:04:26+02:00,2025-10-20T14:16:18.598902495+02:00,2025-10-20T14:17:12.598902495+02:00,76312598,0.000218,engine
engine,job-255,small-2,2025-10-19T17:04:30+02:00,2025-10-20T14:16:19.598902495+02:00,2025-10-20T14:17:02.598902495+02:00,76309598,0.000173,engine
engine,job-259,small-1,2025-10-19T17:04:37+02:00,2025-10-20T14:16:20.598902495+02:00,2025-10-20T14:16:55.598902495+02:00,76303598,0.000141,engine
engine,job-271,small-3,2025-10-19T17:04:42+02:00,2025-10-20T14:16:20.598902495+02:00,2025-10-20T14:17:19.598902495+02:00,76298598,0.000238,engine
engine,job-275,small-1,2025-10-19T17:04:49+02:00,2025-10-20T14:16:22.598902495+02:00,2025-10-20T14:17:00.598902495+02:00,76293598,0.000153,engine
engine,job-276,small-4,2025-10-19T17:04:52+02:00,2025-10-20T14:16:23.598902495+02:00,2025-10-20T14:17:13.598902495+02:00,76291598,0.000201,engine
engine,job-279,small-2,2025-10-19T17:04:57+02:00,2025-10-20T14:16:24.598902495+02:00,2025-10-20T14:17:02.598902495+02:00,76287598,0.000153,engine
engine,job-281,small-3,2025-10-19T17:05:03+02:00,2025-10-20T14:16:27.598902495+02:00,2025-10-20T14:17:07.598902495+02:00,76284598,0.000161,engine
engine,job-284,small-1,2025-10-19T17:05:04+02:00,2025-10-20T14:16:28.598902495+02:00,2025-10-20T14:17:26.598902495+02:00,76284598,0.000234,engine
engine,job-288,gpu-0,2025-10-19T17:05:08+02:00,2025-10-20T14:16:31.598902495+02:00,2025-10-20T14:17:28.598902495+02:00,76283598,0.000146,engine
engine,job-289,small-2,2025-10-19T17:05:08+02:00,2025-10-20T14:16:33.598902495+02:00,2025-10-20T14:17:28.598902495+02:00,76285598,0.000222,engine
engine,job-293,small-0,2025-10-19T17:05:13+02:00,2025-10-20T14:16:35.598902495+02:00,2025-10-20T14:17:21.598902495+02:00,76282598,0.000185,engine
engine,job-296,med-0,2025-10-19T17:05:17+02:00,2025-10-20T14:16:36.598902495+02:00,2025-10-20T14:17:16.598902495+02:00,76279598,0.000171,engine
engine,job-297,small-4,2025-10-19T17:05:17+02:00,2025-10-20T14:16:36.598902495+02:00,2025-10-20T14:17:21.598902495+02:00,76279598,0.000181,engine
engine,job-301,gpu-0,2025-10-19T17:05:21+02:00,2025-10-20T14:16:37.598902495+02:00,2025-10-20T14:17:16.598902495+02:00,76276598,0.000101,engine
engine,job-302,small-3,2025-10-19T17:05:21+02:00,2025-10-20T14:16:38.598902495+02:00,2025-10-20T14:17:18.598902495+02:00,76277598,0.000161,engine
engine,job-305,small-4,2025-10-19T17:05:22+02:00,2025-10-20T14:16:38.598902495+02:00,2025-10-20T14:17:23.598902495+02:00,76276598,0.000181,engine
engine,job-311,med-1,2025-10-19T17:05:25+02:00,2025-10-20T14:16:39.598902495+02:00,2025-10-20T14:17:31.598902495+02:00,76274598,0.000222,engine
engine,job-318,gpu-0,2025-10-19T17:05:31+02:00,2025-10-20T14:16:44.598902495+02:00,2025-10-20T14:17:21.598902495+02:00,76273598,9.8e-05,engine
engine,job-320,small-2,2025-10-19T17:05:35+02:00,2025-10-20T14:16:45.598902495+02:00,2025-10-20T14:17:30.598902495+02:00,76270598,0.000181,engine
engine,job-328,small-0,2025-10-19T17:05:41+02:00,2025-10-20T14:16:46.598902495+02:00,2025-10-20T14:17:24.598902495+02:00,76265598,0.000153,engine
