sched,job_id,node,submit,start,end,wait_ms,ci_cost,policy
themis_base,job-255,small-1,2025-10-19T17:04:30+02:00,2025-10-20T14:15:08.565072351+02:00,2025-10-20T14:15:51.565072351+02:00,76238565,0.000173,themis
themis_base,job-259,gpu-0,2025-10-19T17:04:37+02:00,2025-10-20T14:15:08.565072351+02:00,2025-10-20T14:15:43.565072351+02:00,76231565,7e-05,themis
themis_base,job-271,med-1,2025-10-19T17:04:42+02:00,2025-10-20T14:15:08.565072351+02:00,2025-10-20T14:16:07.565072351+02:00,76226565,0.000252,themis
themis_base,job-275,small-2,2025-10-19T17:04:49+02:00,2025-10-20T14:15:10.565072351+02:00,2025-10-20T14:15:48.565072351+02:00,76221565,0.000153,themis
themis_base,job-276,small-3,2025-10-19T17:04:52+02:00,2025-10-20T14:15:12.565072351+02:00,2025-10-20T14:16:02.565072351+02:00,76220565,0.000201,themis
themis_base,job-279,small-3,2025-10-19T17:04:57+02:00,2025-10-20T14:15:14.565072351+02:00,2025-10-20T14:15:52.565072351+02:00,76217565,0.000153,themis
themis_base,job-281,gpu-0,2025-10-19T17:05:03+02:00,2025-10-20T14:15:14.565072351+02:00,2025-10-20T14:15:54.565072351+02:00,76211565,8.2e-05,themis
themis_base,job-284,small-3,2025-10-19T17:05:04+02:00,2025-10-20T14:15:19.565072351+02:00,2025-10-20T14:16:17.565072351+02:00,76215565,0.000234,themis
themis_base,job-288,small-4,2025-10-19T17:05:08+02:00,2025-10-20T14:15:23.565072351+02:00,2025-10-20T14:16:20.565072351+02:00,76215565,0.00023,themis
themis_base,job-289,small-0,2025-10-19T17:05:08+02:00,2025-10-20T14:15:24.565072351+02:00,2025-10-20T14:16:19.565072351+02:00,76216565,0.000222,themis
themis_base,job-293,small-1,2025-10-19T17:05:13+02:00,2025-10-20T14:15:27.565072351+02:00,2025-10-20T14:16:13.565072351+02:00,76214565,0.000185,themis
themis_base,job-296,gpu-0,2025-10-19T17:05:17+02:00,2025-10-20T14:15:27.565072351+02:00,2025-10-20T14:16:07.565072351+02:00,76210565,8.6e-05,themis
themis_base,job-297,small-2,2025-10-19T17:05:17+02:00,2025-10-20T14:15:28.565072351+02:00,2025-10-20T14:16:13.565072351+02:00,76211565,0.000181,themis
themis_base,job-301,small-1,2025-10-19T17:05:21+02:00,2025-10-20T14:15:28.565072351+02:00,2025-10-20T14:16:07.565072351+02:00,76207565,0.000157,themis
themis_base,job-302,small-2,2025-10-19T17:05:21+02:00,2025-10-20T14:15:29.565072351+02:00,2025-10-20T14:16:09.565072351+02:00,76208565,0.000161,themis
themis_base,job-305,small-4,2025-10-19T17:05:22+02:00,2025-10-20T14:15:30.565072351+02:00,2025-10-20T14:16:15.565072351+02:00,76208565,0.000181,themis
themis_base,job-311,small-0,2025-10-19T17:05:25+02:00,2025-10-20T14:15:30.565072351+02:00,2025-10-20T14:16:22.565072351+02:00,76205565,0.000209,themis
themis_base,job-318,med-0,2025-10-19T17:05:31+02:00,2025-10-20T14:15:35.565072351+02:00,2025-10-20T14:16:12.565072351+02:00,76204565,0.000158,themis
themis_base,job-320,small-4,2025-10-19T17:05:35+02:00,2025-10-20T14:15:35.565072351+02:00,2025-10-20T14:16:20.565072351+02:00,76200565,0.000181,themis
themis_base,job-328,med-0,2025-10-19T17:05:41+02:00,2025-10-20T14:15:35.565072351+02:00,2025-10-20T14:16:13.565072351+02:00,76194565,0.000162,themis
themis_base,job-330,small-0,2025-10-19T17:05:44+02:00,2025-10-20T14:15:41.565072351+02:00,2025-10-20T14:16:40.565072351+02:00,76197565,0.000238,themis
themis_base,job-332,gpu-0,2025-10-19T17:05:45+02:00,2025-10-20T14:15:43.565072351+02:00,2025-10-20T14:16:38.565072351+02:00,76198565,0.000123,themis
themis_base,job-334,small-1,2025-10-19T17:05:50+02:00,2025-10-20T14:15:43.565072351+02:00,2025-10-20T14:16:25.565072351+02:00,76193565,0.000169,themis
themis_base,job-336,med-0,2025-10-19T17:05:50+02:00,2025-10-20T14:15:45.565072351+02:00,2025-10-20T14:16:35.565072351+02:00,76195565,0.000214,themis
themis_base,job-341,small-4,2025-10-19T17:05:53+02:00,2025-10-20T14:15:46.565072351+02:00,2025-10-20T14:16:28.565072351+02:00,76193565,0.000169,themis
themis_base,job-11,gpu-0,2025-10-19T17:00:07+02:00,2025-10-20T14:15:48.565072351+02:00,2025-10-20T14:18:25.565072351+02:00,76541565,0.000411,themis
themis_base,job-347,small-2,2025-10-19T17:06:00+02:00,2025-10-20T14:15:48.565072351+02:00,2025-10-20T14:16:44.565072351+02:00,76188565,0.000226,themis
themis_base,job-351,med-1,2025-10-19T17:06:00+02:00,2025-10-20T14:15:48.565072351+02:00,2025-10-20T14:16:45.565072351+02:00,76188565,0.000243,themis
themis_base,job-12,burst-0,2025-10-19T17:00:08+02:00,2025-10-20T14:15:49.565072351+02:00,2025-10-20T14:17:59.565072351+02:00,76541565,0.00074,themis
themis_base,job-37,burst-0,2025-10-19T17:00:33+02:00,2025-10-20T14:15:49.565072351+02:00,2025-10-20T14:25:29.565072351+02:00,76516565,0.006036,themis
themis_base,job-356,burst-0,2025-10-19T17:06:06+02:00,2025-10-20T14:15:49.565072351+02:00,2025-10-20T14:16:34.565072351+02:00,76183565,0.000203,themis
themis_base,job-357,burst-0,2025-10-19T17:06:08+02:00,2025-10-20T14:15:49.565072351+02:00,2025-10-20T14:16:39.565072351+02:00,76181565,0.000225,themis
themis_base,job-358,burst-0,2025-10-19T17:06:10+02:00,2025-10-20T14:15:49.565072351+02:00,2025-10-20T14:16:37.565072351+02:00,76179565,0.000216,themis
themis_base,job-359,small-1,2025-10-19T17:06:11+02:00,2025-10-20T14:15:51.565072351+02:00,2025-10-20T14:16:48.565072351+02:00,76180565,0.00023,themis
themis_base,job-365,small-3,2025-10-19T17:06:14+02:00,2025-10-20T14:15:52.565072351+02:00,2025-10-20T14:16:34.565072351+02:00,76178565,0.000169,themis
themis_base,job-376,gpu-0,2025-10-19T17:06:32+02:00,2025-10-20T14:15:54.565072351+02:00,2025-10-20T14:16:24.565072351+02:00,76162565,6.9e-05,themis
themis_base,job-377,small-2,2025-10-19T17:06:32+02:00,2025-10-20T14:15:55.565072351+02:00,2025-10-20T14:16:48.565072351+02:00,76163565,0.000213,themis
themis_base,job-382,med-2,2025-10-19T17:06:37+02:00,2025-10-20T14:15:58.565072351+02:00,2025-10-20T14:16:44.565072351+02:00,76161565,0.000196,themis
themis_base,job-385,small-3,2025-10-19T17:06:39+02:00,2025-10-20T14:16:02.565072351+02:00,2025-10-20T14:16:32.565072351+02:00,76163565,0.000121,themis
themis_base,job-386,small-3,2025-10-19T17:06:39+02:00,2025-10-20T14:16:02.565072351+02:00,2025-10-20T14:16:39.565072351+02:00,76163565,0.000149,themis
themis_base,job-392,small-0,2025-10-19T17:06:43+02:00,2025-10-20T14:16:03.565072351+02:00,2025-10-20T14:16:44.565072351+02:00,76160565,0.000165,themis
themis_base,job-396,small-1,2025-10-19T17:06:59+02:00,2025-10-20T14:16:07.565072351+02:00,2025-10-20T14:16:41.565072351+02:00,76148565,0.000137,themis
themis_base,job-402,gpu-0,2025-10-19T17:07:07+02:00,2025-10-20T14:16:07.565072351+02:00,2025-10-20T14:17:02.565072351+02:00,76140565,0.000132,themis
themis_base,job-403,med-1,2025-10-19T17:07:07+02:00,2025-10-20T14:16:07.565072351+02:00,2025-10-20T14:16:58.565072351+02:00,76140565,0.000218,themis
themis_base,job-15,gpu-0,2025-10-19T17:00:12+02:00,2025-10-20T14:16:09.565072351+02:00,2025-10-20T14:18:50.565072351+02:00,76557565,0.000447,themis
themis_base,job-25,gpu-0,2025-10-19T17:00:19+02:00,2025-10-20T14:16:09.565072351+02:00,2025-10-20T14:22:22.565072351+02:00,76550565,0.002796,themis
themis_base,job-404,small-2,2025-10-19T17:07:08+02:00,2025-10-20T14:16:09.565072351+02:00,2025-10-20T14:16:53.565072351+02:00,76141565,0.000177,themis
themis_base,job-406,med-0,2025-10-19T17:07:09+02:00,2025-10-20T14:16:12.565072351+02:00,2025-10-20T14:16:45.565072351+02:00,76143565,0.000141,themis
themis_base,job-409,small-1,2025-10-19T17:07:14+02:00,2025-10-20T14:16:13.565072351+02:00,2025-10-20T14:16:45.565072351+02:00,76139565,0.000129,themis
themis_base,job-410,small-2,2025-10-19T17:07:15+02:00,2025-10-20T14:16:13.565072351+02:00,2025-10-20T14:17:01.565072351+02:00,76138565,0.000193,themis
