policy,job_id,site,node,queued_at,started_at,ended_at,submit,start,end,wait_s,runtime_s,queue_seconds,energy_kwh,energy_wh,carbon_kg,carbon_g,ci_cost,ci_cost_g,source
k8s,033,C,hetsched-worker2,2025-11-18T12:38:24+00:00,2025-11-18T12:38:35+00:00,2025-11-18T12:38:45+00:00,2025-11-18T12:38:24+00:00,2025-11-18T12:38:35+00:00,2025-11-18T12:38:45+00:00,11.0,10.0,11.0,0.00043946457081379985,0.43946457081379986,0.0002570867739260729,0.25708677392607293,0.25708677392607293,0.25708677392607293,kubernetes
k8s,034,C,hetsched-worker2,2025-11-18T12:38:25+00:00,2025-11-18T12:38:36+00:00,2025-11-18T12:38:46+00:00,2025-11-18T12:38:25+00:00,2025-11-18T12:38:36+00:00,2025-11-18T12:38:46+00:00,11.0,10.0,11.0,0.00043946457081379985,0.43946457081379986,0.0002570867739260729,0.25708677392607293,0.25708677392607293,0.25708677392607293,kubernetes
k8s,035,B,themis-control-plane,2025-11-18T12:37:05+00:00,2025-11-18T12:37:30+00:00,2025-11-18T12:37:46+00:00,2025-11-18T12:37:05+00:00,2025-11-18T12:37:30+00:00,2025-11-18T12:37:46+00:00,25.0,16.0,25.0,0.00044334115907469415,0.4433411590746942,0.0002593545780586961,0.2593545780586961,0.2593545780586961,0.2593545780586961,kubernetes
k8s,036,B,themis-control-plane,2025-11-18T12:37:06+00:00,2025-11-18T12:37:30+00:00,2025-11-18T12:37:50+00:00,2025-11-18T12:37:06+00:00,2025-11-18T12:37:30+00:00,2025-11-18T12:37:50+00:00,24.0,20.0,24.0,0.00044334115907469415,0.4433411590746942,0.0002593545780586961,0.2593545780586961,0.2593545780586961,0.2593545780586961,kubernetes
k8s,037,B,themis-control-plane,2025-11-18T12:38:27+00:00,2025-11-18T12:38:42+00:00,2025-11-18T12:38:52+00:00,2025-11-18T12:38:27+00:00,2025-11-18T12:38:42+00:00,2025-11-18T12:38:52+00:00,15.0,10.0,15.0,0.00044334115907469415,0.4433411590746942,0.0002593545780586961,0.2593545780586961,0.2593545780586961,0.2593545780586961,kubernetes
k8s,038,B,themis-control-plane,2025-11-18T12:37:09+00:00,2025-11-18T12:37:31+00:00,2025-11-18T12:37:52+00:00,2025-11-18T12:37:09+00:00,2025-11-18T12:37:31+00:00,2025-11-18T12:37:52+00:00,22.0,21.0,22.0,0.00044334115907469415,0.4433411590746942,0.0002593545780586961,0.2593545780586961,0.2593545780586961,0.2593545780586961,kubernetes
k8s,039,B,themis-control-plane,2025-11-18T12:37:10+00:00,2025-11-18T12:37:31+00:00,2025-11-18T12:37:51+00:00,2025-11-18T12:37:10+00:00,2025-11-18T12:37:31+00:00,2025-11-18T12:37:51+00:00,21.0,20.0,21.0,0.00044334115907469415,0.4433411590746942,0.0002593545780586961,0.2593545780586961,0.2593545780586961,0.2593545780586961,kubernetes
k8s,040,B,themis-control-plane,2025-11-18T12:37:12+00:00,2025-11-18T12:37:32+00:00,2025-11-18T12:37:52+00:00,2025-11-18T12:37:12+00:00,2025-11-18T12:37:32+00:00,2025-11-18T12:37:52+00:00,20.0,20.0,20.0,0.00044334115907469415,0.4433411590746942,0.0002593545780586961,0.2593545780586961,0.2593545780586961,0.2593545780586961,kubernetes
k8s,041,A,hetsched-worker,2025-11-18T12:37:13+00:00,2025-11-18T12:37:33+00:00,2025-11-18T12:37:43+00:00,2025-11-18T12:37:13+00:00,2025-11-18T12:37:33+00:00,2025-11-18T12:37:43+00:00,20.0,10.0,20.0,0.00043946457081379985,0.43946457081379986,0.0002570867739260729,0.25708677392607293,0.25708677392607293,0.25708677392607293,kubernetes
k8s,045,B,themis-control-plane,2025-11-18T12:37:12+00:00,2025-11-18T12:37:32+00:00,2025-11-18T12:37:42+00:00,2025-11-18T12:37:12+00:00,2025-11-18T12:37:32+00:00,2025-11-18T12:37:42+00:00,20.0,10.0,20.0,0.00044334115907469415,0.4433411590746942,0.0002593545780586961,0.2593545780586961,0.2593545780586961,0.2593545780586961,kubernetes
